Date,Close/Last,Volume,Open,High,Low,Name
2022-01-31,91.21,118.0,90.8,91.3,90.75,Brent Crude Oil
2022-01-28,90.03,6967.0,89.89,91.69,89.41,Brent Crude Oil
2022-01-27,89.34,12973.0,89.78,91.04,88.98,Brent Crude Oil
2022-01-26,89.96,27904.0,88.02,90.48,87.8,Brent Crude Oil
2022-01-25,88.2,27804.0,87.17,88.36,86.19,Brent Crude Oil
2022-01-24,86.27,31995.0,87.65,88.88,85.02,Brent Crude Oil
2022-01-21,87.89,28994.0,87.35,88.22,85.71,Brent Crude Oil
2022-01-20,88.38,29675.0,87.73,89.51,87.03,Brent Crude Oil
2022-01-19,88.44,35746.0,88.45,89.17,87.63,Brent Crude Oil
2022-01-18,87.51,43122.0,86.5,88.55,85.55,Brent Crude Oil
2022-01-14,86.06,29473.0,84.13,86.5,84.03,Brent Crude Oil
2022-01-13,84.47,26336.0,84.78,85.09,83.79,Brent Crude Oil
2022-01-12,84.67,31472.0,83.69,85.2,83.51,Brent Crude Oil
2022-01-11,83.72,36788.0,80.96,83.97,80.88,Brent Crude Oil
2022-01-10,80.87,28530.0,81.79,82.27,80.49,Brent Crude Oil
2022-01-07,81.75,28269.0,82.06,82.99,81.44,Brent Crude Oil
2022-01-06,81.99,39649.0,80.15,82.84,79.63,Brent Crude Oil
2022-01-05,80.8,34333.0,80.08,81.49,79.55,Brent Crude Oil
2022-01-04,80.0,30659.0,78.95,80.55,78.6,Brent Crude Oil
2022-01-03,78.98,25682.0,77.94,79.28,77.04,Brent Crude Oil
2021-12-31,77.78,20144.0,79.15,79.68,77.14,Brent Crude Oil
2021-12-30,79.32,476.0,79.25,79.62,78.66,Brent Crude Oil
2021-12-29,79.23,5516.0,79.0,80.16,78.14,Brent Crude Oil
2021-12-28,78.94,7543.0,78.87,79.85,78.47,Brent Crude Oil
2021-12-27,78.6,14007.0,76.3,79.06,75.76,Brent Crude Oil
2021-12-23,76.85,23616.0,75.67,76.98,74.79,Brent Crude Oil
2021-12-22,75.29,23779.0,74.04,75.69,73.59,Brent Crude Oil
2021-12-21,73.98,26549.0,72.1,74.26,71.24,Brent Crude Oil
2021-12-20,71.52,36111.0,73.06,73.07,69.26,Brent Crude Oil
2021-12-17,73.52,25575.0,74.51,74.96,72.62,Brent Crude Oil
2021-12-16,75.02,25386.0,74.57,75.59,74.0,Brent Crude Oil
2021-12-15,73.88,28932.0,73.26,74.57,72.48,Brent Crude Oil
2021-12-14,73.7,30769.0,74.3,75.15,72.57,Brent Crude Oil
2021-12-13,74.39,26063.0,75.54,76.39,74.19,Brent Crude Oil
2021-12-10,75.15,23916.0,74.1,75.7,73.8,Brent Crude Oil
2021-12-09,74.42,26537.0,76.02,76.7,73.83,Brent Crude Oil
2021-12-08,75.82,29824.0,75.27,76.37,75.02,Brent Crude Oil
2021-12-07,75.44,33623.0,73.54,76.26,73.23,Brent Crude Oil
2021-12-06,73.08,30083.0,70.3,73.78,70.29,Brent Crude Oil
2021-12-03,69.88,42891.0,70.5,72.6,69.23,Brent Crude Oil
2021-12-02,69.67,77520.0,68.81,70.6,69.8,Brent Crude Oil
2021-12-01,68.87,55882.0,70.14,72.86,68.15,Brent Crude Oil
2021-11-30,70.57,416.0,74.57,74.57,70.22,Brent Crude Oil
2021-11-29,73.44,7893.0,73.59,73.16,72.83,Brent Crude Oil
2021-11-26,72.72,28968.0,82.27,82.56,72.11,Brent Crude Oil
2021-11-24,82.25,27291.0,82.2,82.91,81.92,Brent Crude Oil
2021-11-23,82.31,40699.0,79.42,82.59,78.57,Brent Crude Oil
2021-11-22,79.7,30519.0,78.67,79.79,79.04,Brent Crude Oil
2021-11-19,78.89,43460.0,81.01,82.23,78.05,Brent Crude Oil
2021-11-18,81.24,30137.0,80.28,81.42,79.27,Brent Crude Oil
2021-11-17,80.28,37735.0,82.33,82.36,79.77,Brent Crude Oil
2021-11-16,82.43,24687.0,82.11,83.14,81.55,Brent Crude Oil
2021-11-15,82.05,31737.0,81.92,82.49,80.68,Brent Crude Oil
2021-11-12,82.17,25714.0,82.67,82.87,81.26,Brent Crude Oil
2021-11-11,82.87,30182.0,82.64,83.43,81.66,Brent Crude Oil
2021-11-10,82.64,35335.0,85.16,85.5,82.09,Brent Crude Oil
2021-11-09,84.78,34334.0,83.59,85.14,83.18,Brent Crude Oil
2021-11-08,83.43,26320.0,82.57,83.99,82.5,Brent Crude Oil
2021-11-05,82.74,42238.0,81.0,83.15,80.27,Brent Crude Oil
2021-11-04,80.54,70768.0,81.32,84.5,80.19,Brent Crude Oil
2021-11-03,81.99,49329.0,84.04,84.18,81.08,Brent Crude Oil
2021-11-02,84.72,39149.0,84.42,85.22,83.76,Brent Crude Oil
2021-11-01,84.71,35504.0,83.73,85.11,83.03,Brent Crude Oil
2021-10-29,84.38,362.0,84.19,84.56,84.06,Brent Crude Oil
2021-10-28,84.32,6486.0,84.18,84.57,82.31,Brent Crude Oil
2021-10-27,84.58,21981.0,86.13,86.27,84.05,Brent Crude Oil
2021-10-26,86.4,23874.0,86.03,86.53,85.28,Brent Crude Oil
2021-10-25,85.99,40752.0,85.71,86.72,85.44,Brent Crude Oil
2021-10-22,85.53,38765.0,84.65,85.94,83.83,Brent Crude Oil
2021-10-21,84.61,47081.0,85.88,86.12,83.36,Brent Crude Oil
2021-10-20,85.82,41281.0,85.1,85.89,83.63,Brent Crude Oil
2021-10-19,85.08,41887.0,84.11,85.4,83.71,Brent Crude Oil
2021-10-18,84.33,37176.0,85.05,86.03,83.96,Brent Crude Oil
2021-10-15,84.86,31221.0,84.2,85.1,84.17,Brent Crude Oil
2021-10-14,84.0,35502.0,83.35,84.28,83.23,Brent Crude Oil
2021-10-13,83.18,37792.0,83.16,83.69,82.21,Brent Crude Oil
2021-10-12,83.42,45327.0,83.61,84.23,82.72,Brent Crude Oil
2021-10-11,83.65,44115.0,82.59,84.6,82.56,Brent Crude Oil
2021-10-08,82.39,47270.0,82.39,83.43,81.96,Brent Crude Oil
2021-10-07,81.95,42903.0,80.8,82.5,79.08,Brent Crude Oil
2021-10-06,81.08,40519.0,82.66,83.44,80.59,Brent Crude Oil
2021-10-05,82.56,42825.0,81.28,83.11,81.2,Brent Crude Oil
2021-10-04,81.26,42015.0,79.36,82.0,78.76,Brent Crude Oil
2021-10-01,79.28,30835.0,78.41,79.41,77.57,Brent Crude Oil
2021-09-30,78.52,67.0,78.33,78.71,78.3,Brent Crude Oil
2021-09-29,78.64,3603.0,78.25,79.41,77.53,Brent Crude Oil
2021-09-28,79.09,20743.0,79.42,80.74,78.08,Brent Crude Oil
2021-09-27,79.53,19614.0,78.23,79.88,78.21,Brent Crude Oil
