Date,Close/Last,Volume,Open,High,Low,Name
2022-04-26,101.7,335929.0,98.64,102.78,97.06,WTI Crude Oil
2022-04-25,98.54,313420.0,101.38,101.55,95.28,WTI Crude Oil
2022-04-22,102.07,231104.0,104.07,104.22,101.06,WTI Crude Oil
2022-04-21,103.79,263513.0,102.5,105.42,102.01,WTI Crude Oil
2022-04-20,102.75,12340.0,103.05,104.16,100.7,WTI Crude Oil
2022-04-19,102.56,39654.0,107.75,108.92,102.1,WTI Crude Oil
2022-04-18,108.21,49567.0,107.03,109.81,106.0,WTI Crude Oil
2022-04-14,106.95,211055.0,104.2,107.64,102.12,WTI Crude Oil
2022-04-13,104.25,271093.0,100.91,104.47,99.87,WTI Crude Oil
2022-04-12,100.6,293089.0,95.17,101.35,94.84,WTI Crude Oil
2022-04-11,94.29,276968.0,98.4,98.52,92.93,WTI Crude Oil
2022-04-08,98.26,274803.0,97.17,98.76,95.29,WTI Crude Oil
2022-04-07,96.03,326388.0,97.16,98.82,93.81,WTI Crude Oil
2022-04-06,96.23,342749.0,101.24,104.02,95.73,WTI Crude Oil
2022-04-05,101.96,263168.0,103.66,105.59,99.88,WTI Crude Oil
2022-04-04,103.28,269786.0,98.95,103.94,98.05,WTI Crude Oil
2022-04-01,99.27,305041.0,101.23,101.75,97.78,WTI Crude Oil
2022-03-31,100.28,432263.0,107.45,107.8,99.66,WTI Crude Oil
2022-03-30,107.82,266301.0,105.24,108.75,104.55,WTI Crude Oil
2022-03-29,104.24,371233.0,103.47,107.84,98.44,WTI Crude Oil
2022-03-28,105.96,354375.0,112.92,111.89,102.83,WTI Crude Oil
2022-03-25,113.9,299911.0,111.75,114.12,108.68,WTI Crude Oil
2022-03-24,112.34,293172.0,114.47,116.64,110.61,WTI Crude Oil
2022-03-23,114.93,270946.0,108.85,115.4,108.38,WTI Crude Oil
2022-03-22,111.76,16841.0,112.9,115.01,109.3,WTI Crude Oil
2022-03-21,112.12,39803.0,105.13,112.69,104.08,WTI Crude Oil
2022-03-18,104.7,57288.0,103.62,106.28,102.3,WTI Crude Oil
2022-03-17,102.98,184057.0,95.34,104.24,94.85,WTI Crude Oil
2022-03-16,95.04,271220.0,95.23,99.22,94.07,WTI Crude Oil
2022-03-15,96.44,369225.0,102.28,102.58,93.53,WTI Crude Oil
2022-03-14,103.01,312356.0,109.42,109.16,99.76,WTI Crude Oil
2022-03-11,109.33,329393.0,105.99,110.29,104.48,WTI Crude Oil
2022-03-10,106.02,401484.0,110.41,114.88,105.53,WTI Crude Oil
2022-03-09,108.7,566583.0,109.05,110.76,107.73,WTI Crude Oil
2022-03-08,123.7,555762.0,120.67,129.44,117.07,WTI Crude Oil
2022-03-07,119.4,541864.0,124.58,127.6,115.54,WTI Crude Oil
2022-03-04,115.68,472183.0,107.96,116.02,114.68,WTI Crude Oil
2022-03-03,107.67,574369.0,111.33,116.57,106.43,WTI Crude Oil
2022-03-02,110.6,628163.0,107.12,112.44,110.5,WTI Crude Oil
2022-03-01,103.41,674932.0,96.09,106.78,95.32,WTI Crude Oil
2022-02-28,95.72,463872.0,97.7,99.1,94.43,WTI Crude Oil
2022-02-25,91.59,502277.0,93.32,92.46,90.06,WTI Crude Oil
2022-02-24,92.81,851002.0,92.52,98.0,91.45,WTI Crude Oil
2022-02-23,92.1,428121.0,91.74,93.9,90.64,WTI Crude Oil
2022-02-22,92.35,28595.0,92.31,92.5,92.09,WTI Crude Oil
2022-02-18,91.07,98808.0,91.63,92.66,89.03,WTI Crude Oil
2022-02-17,91.76,188922.0,90.9,93.36,90.62,WTI Crude Oil
2022-02-16,93.66,361057.0,92.21,95.01,90.0,WTI Crude Oil
2022-02-15,92.07,401815.0,94.83,95.17,90.66,WTI Crude Oil
